% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
4760	0	2	2	477	5	477	1	124	6	1	15	0	255	10	25	0	16	255	0
4762	0	2	2	477	7	477	1	124	6	1	43	0	255	10	25	0	16	255	0
4798	0	1	1	481	3	481	1	37	6	1	32	0	255	10	8	0	16	255	0
4798	0	2	2	481	3	481	1	146	6	1	18	0	255	10	9	0	16	255	0
4801	0	1	1	481	6	481	1	37	6	1	4	0	255	10	8	0	16	255	0
4803	0	2	2	481	8	481	1	146	6	1	46	0	255	10	9	0	16	255	0
4836	0	2	2	485	1	485	1	147	6	1	46	0	255	10	11	0	16	255	0
4836	0	5	5	485	1	485	1	21	6	1	30	0	255	10	7	0	16	255	0
4839	0	2	2	485	4	485	1	147	6	1	18	0	255	10	11	0	16	255	0
4840	0	1	1	485	5	485	1	109	6	1	41	0	255	10	1	0	16	255	0
4841	0	1	1	485	6	485	1	109	6	1	13	0	255	10	1	0	16	255	0
4841	0	5	5	485	6	485	1	21	6	1	2	0	255	10	7	0	16	255	0
4877	0	2	2	489	2	489	1	41	6	1	5	0	255	10	25	0	16	255	0
4879	0	1	1	489	4	489	1	143	6	1	45	0	255	10	36	0	16	255	0
4883	0	1	1	489	8	489	1	143	6	1	17	0	255	10	36	0	16	255	0
4883	0	2	2	489	8	489	1	41	6	1	33	0	255	10	25	0	16	255	0
4917	0	1	1	493	2	493	1	50	6	1	34	0	255	10	35	0	16	255	0
4917	0	2	2	493	2	493	1	137	6	1	17	0	255	10	24	0	16	255	0
4918	0	1	1	493	3	493	1	50	6	1	6	0	255	10	35	0	16	255	0
4920	0	3	3	493	5	493	1	109	6	1	41	0	255	10	12	0	16	255	0
4921	0	2	2	493	6	493	1	137	6	1	45	0	255	10	24	0	16	255	0
4921	0	3	3	493	6	493	1	109	6	1	13	0	255	10	12	0	16	255	0
