% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3616	0	5	2	0	16	389	1	0	0	0.35335
3624	0	3	1	0	16	389	2	0	0	1.12428
3624	0	3	2	0	16	389	2	0	0	4.4022
3624	0	4	1	0	16	389	2	0	0	0.332746
3624	0	4	2	0	16	389	2	0	0	0.497734
3624	0	5	1	0	16	389	2	0	0	0.154412
3624	0	5	2	0	16	389	2	0	0	0.35335
3632	0	3	1	0	16	389	3	0	0	1.12428
3632	0	3	2	0	16	389	3	0	0	4.4022
3632	0	4	1	0	16	389	3	0	0	0.332746
3632	0	4	2	0	16	389	3	0	0	0.497734
3632	0	5	1	0	16	389	3	0	0	0.154412
3632	0	5	2	0	16	389	3	0	0	0.35335
3648	0	3	1	0	16	389	0	1	0	1.12428
3648	0	3	2	0	16	389	0	1	0	4.4022
3648	0	4	1	0	16	389	0	1	0	0.332746
3648	0	4	2	0	16	389	0	1	0	0.497734
3648	0	5	1	0	16	389	0	1	0	0.154412
3648	0	5	2	0	16	389	0	1	0	0.35335
3656	0	3	1	0	16	389	1	0	0	1.12428
3656	0	3	2	0	16	389	1	0	0	4.4022
3656	0	4	1	0	16	389	1	0	0	0.332746
3656	0	4	2	0	16	389	1	0	0	0.497734
3656	0	5	1	0	16	389	1	0	0	0.154412
3656	0	5	2	0	16	389	1	0	0	0.35335
3664	0	3	1	0	16	389	2	0	0	1.12428
3664	0	3	2	0	16	389	2	0	0	4.4022
3664	0	4	1	0	16	389	2	0	0	0.332746
3664	0	4	2	0	16	389	2	0	0	0.497734
3664	0	5	1	0	16	389	2	0	0	0.154412
3664	0	5	2	0	16	389	2	0	0	0.35335
3672	0	3	1	0	16	389	3	0	0	1.12428
3672	0	3	2	0	16	389	3	0	0	4.4022
3672	0	4	1	0	16	389	3	0	0	0.332746
3672	0	4	2	0	16	389	3	0	0	0.497734
3672	0	5	1	0	16	389	3	0	0	0.154412
3672	0	5	2	0	16	389	3	0	0	0.35335
3688	0	4	1	0	16	389	0	1	0	0.136225
3688	0	4	2	0	16	389	0	1	0	0.3459
3688	0	4	3	0	16	389	0	1	0	4.49454
3688	0	5	1	0	16	389	0	1	0	0.101587
3688	0	5	2	0	16	389	0	1	0	0.287412
3688	0	5	3	0	16	389	0	1	0	1.51922
3696	0	4	1	0	16	389	1	0	0	0.136225
3696	0	4	2	0	16	389	1	0	0	0.3459
3696	0	4	3	0	16	389	1	0	0	4.49454
3696	0	5	1	0	16	389	1	0	0	0.101587
3696	0	5	2	0	16	389	1	0	0	0.287412
